player,team,position,minutes,minutes_trend,avg_pts,avg_reb,avg_ast,last5_pts,last10_pts,fg_pct,std_dev,reb_std,ast_std
A.J. Lawson,TOR,SG,9.4,1.0,4.2,1.8,0.3,3.0,5.2,0.436,1.05,1.0,1.0
AJ Green,MIL,SG,29.1,1.0,10.4,2.7,1.9,18.6,16.2,0.424,2.6,1.0,1.0
AJ Johnson,DAL,SG,9.4,1.0,3.3,1.1,1.0,8.0,5.5,0.324,1.0,1.0,1.0
Aaron Gordon,DEN,SG,27.9,1.0,16.2,5.8,2.7,13.4,15.0,0.497,4.05,1.74,1.0
Aaron Holiday,HOU,SG,13.7,1.0,5.5,1.0,1.1,6.4,5.6,0.417,1.375,1.0,1.0
Aaron Nesmith,IND,SG,29.7,1.0,13.8,4.2,1.9,15.8,17.5,0.414,3.45,1.26,1.0
Aaron Wiggins,OKC,SG,21.8,1.0,9.4,3.1,1.7,5.6,6.4,0.431,2.35,1.0,1.0
Ace Bailey,UTA,SG,27.6,1.0,13.8,4.2,1.8,17.2,18.5,0.443,3.45,1.26,1.0
Adama Bal,MEM,SG,30.2,1.0,10.4,3.1,2.4,12.0,10.4,0.412,2.6,1.0,1.0
Adem Bona,PHI,SG,17.4,1.0,4.8,4.3,0.5,4.2,4.5,0.595,1.2,1.2899999999999998,1.0
Adou Thiero,LAL,SG,6.0,1.0,1.9,1.1,0.4,3.6,2.7,0.516,1.0,1.0,1.0
Ajay Mitchell,OKC,SG,25.8,1.0,13.6,3.3,3.6,9.4,10.2,0.485,3.4,1.0,1.08
Al Horford,GSW,SG,21.5,1.0,8.3,4.9,2.6,7.0,10.9,0.426,2.075,1.47,1.0
Alex Antetokounmpo,MIL,SG,3.4,1.0,3.2,1.0,0.2,3.2,3.2,0.375,1.0,1.0,1.0
Alex Caruso,OKC,SG,18.2,1.0,6.2,2.8,2.0,4.4,4.5,0.423,1.55,1.0,1.0
Alex Morales,ORL,SG,5.9,1.0,2.0,0.8,1.0,2.0,2.0,0.429,1.0,1.0,1.0
Alex Sarr,WAS,SG,27.2,1.0,16.3,7.4,2.7,8.8,11.4,0.482,4.075,2.22,1.0
Alijah Martin,TOR,SG,6.3,1.0,2.2,0.9,0.5,0.6,1.7,0.32,1.0,1.0,1.0
Alondes Williams,WAS,SG,25.2,1.0,11.0,6.3,3.0,11.0,11.0,0.615,2.75,1.89,1.0
Alperen Sengun,HOU,SG,33.3,1.0,20.4,8.9,6.2,17.0,20.3,0.519,5.1,2.67,1.8599999999999999
Amari Williams,BOS,SG,6.6,1.0,1.4,1.8,0.5,1.6,0.8,0.5,1.0,1.0,1.0
Amen Thompson,HOU,SG,37.4,1.0,18.3,7.8,5.3,24.2,19.9,0.534,4.575,2.34,1.5899999999999999
Amir Coffey,PHX,SG,10.7,1.0,3.2,1.2,0.6,4.8,4.2,0.487,1.0,1.0,1.0
Andersson Garcia,UTA,SG,33.8,1.0,5.2,8.4,2.8,5.2,5.2,0.31,1.3,2.52,1.0
Andre Drummond,PHI,SG,19.5,1.0,6.4,8.4,1.3,7.2,5.2,0.472,1.6,2.52,1.0
